"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 4, 2023",Kadın,"Personel servisi
Erzak yardımı
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Ofiste,5.000-10.000,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%11-%20,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Tıbbi izin",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Solution Developer / Specialist",Mid,"3-5 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
NoSQL","Türk Lirası",Brüt,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Ofiste,51-150,"Team Lead",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Linux
PHP
SQL","Türk Lirası",Brüt,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Team Lead",Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL
SQL","Türk Lirası",Net,%21-%35,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,5.000-10.000,"Application Security Engineer",Senior,"12 Yıl ve üzeri","Java ve bağlı framework'ler",Dolar,Brüt,%5-%10,"130.001 TL - 160.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları
SQL","Türk Lirası",Net,%36-%50,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Backend Developer / Engineer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
NoSQL
SQL","Türk Lirası",Brüt,,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Team Lead",Senior,"5-9 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,%21-%35,"85.001 TL - 100.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Ofiste,51-150,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Solution Developer / Specialist",Junior,"1-3 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Belirli günlerde izin(doğum günü, regl izni gibi)
İşsizlik sigortası",Türkiye,"06 Ankara",Ofiste,1-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Flutter
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kotlin
SQL","Türk Lirası",Net,%11-%20,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası","Yurt dışı","34 İstanbul",Remote,1-50,"Software Development Manager",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları",Dolar,Net,%5-%10,"160.001 TL - 200.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Senior,"9-12 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kubernetes
SQL","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1-50,"iOS Developer",Junior,"1-3 Yıl",Swift,"Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"35 İzmir",Hybrid,1-50,"Team Lead",Mid,"3-5 Yıl","C, C++
Cloud araçları ( AWS, Azure, GCP vs)
Flutter
Python",Dolar,Net,%5-%10,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tıbbi izin",Türkiye,"34 İstanbul",Ofiste,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
SQL","Türk Lirası",Brüt,"%51 ve üzeri","25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%11-%20,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası","Yurt dışı",,Remote,301-600,"Backend Developer / Engineer",Mid,"1-3 Yıl",Golang,Dolar,Net,%5-%10,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Frontend Developer / Engineer",Mid,"5-9 Yıl","ChatGPT
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,1-50,"Q/A - Test Automation Engineer",Senior,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Euro,Brüt,,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,51-150,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası
İşçi tazminatı
Tıbbi izin",Türkiye,"34 İstanbul",Remote,151-300,"Software Engineer",Senior,"3-5 Yıl","DevOps araçları
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,301-600,"UI/UX Designer",Senior,"12 Yıl ve üzeri","Adobe CC araçları
Figma / XD ve diğer tasarım araçları","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Remote,151-300,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,301-600,"Backend Developer / Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Tıbbi izin",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Fullstack Developer / Engineer",Mid,"5-9 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Linux","Türk Lirası",Brüt,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"06 Ankara",Hybrid,51-150,"Data Analyst",Senior,"3-5 Yıl","No-code / Low-code Araçları","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Fullstack Developer / Engineer",Senior,"9-12 Yıl","C# / .NET Framework
NoSQL
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,"Backend Developer / Engineer",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Kotlin","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"35 İzmir",Remote,1-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","Adobe CC araçları
C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Ofiste,1-50,Diğer,Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)","Türk Lirası",Net,%11-%20,"11.402 TL - 15.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası","Yurt dışı",,Remote,1-50,"Backend Developer / Engineer",Senior,"1-3 Yıl",Python,Dolar,Net,,"130.001 TL - 160.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
SAP
SQL","Türk Lirası",Brüt,,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,601-1.000,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
PHP","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,301-600,"Fullstack Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023","Belirtmek İstemiyorum","Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"41 Kocaeli",Remote,51-150,"UI/UX Designer",Mid,"1-3 Yıl","Figma / XD ve diğer tasarım araçları","Türk Lirası",Net,%11-%20,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı","Yurt dışı",,Remote,51-150,"Frontend Developer / Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler",Euro,Net,,"18.001 TL - 20.000 TL"
"Ağu 4, 2023",Erkek,"Personel servisi",Türkiye,"06 Ankara",Ofiste,1.000-5.000,"Fullstack Developer / Engineer",Senior,"9-12 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,"%51 ve üzeri","30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki",Türkiye,"34 İstanbul",Remote,1-50,"Game Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Net,,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Şirket telefonu
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Mid,"5-9 Yıl","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Brüt,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri
İşsizlik sigortası
İşçi tazminatı
Tıbbi izin",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket aracı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"Software Engineer",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Linux","Türk Lirası",Brüt,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı",Türkiye,"34 İstanbul",Ofiste,1-50,"Cyber Security Engineer",Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Linux","Türk Lirası",Net,,"11.402 TL ve altı"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Şirket aracı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Hybrid,601-1.000,"Research and Development Engineer",Mid,"1-3 Yıl","Adobe CC araçları
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Python
R
SAP
SQL","Türk Lirası",Net,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"25 Erzurum",Remote,51-150,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Data Scientist",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python","Türk Lirası",Brüt,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Business Development Specialist",Junior,"0-1 Yıl","C# / .NET Framework
C, C++
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","Türk Lirası",Net,%21-%35,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Personel servisi",Türkiye,"42 Konya",Ofiste,1.000-5.000,"Fullstack Developer / Engineer",Mid,"9-12 Yıl","C# / .NET Framework
Flutter
Javascript / Typescript ve bağlı framework'ler
PHP
SQL","Türk Lirası",Net,%11-%20,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Hayat sigortası
İşsizlik sigortası",Türkiye,"35 İzmir",Ofiste,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
ChatGPT
Java ve bağlı framework'ler
Python
SAP
SQL","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,"Data Analyst",Junior,"1-3 Yıl","Microsoft Office Araçları
Python
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı","Yurt dışı","34 İstanbul",Remote,,"Software Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Net,%11-%20,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Hybrid,51-150,"Software Engineer",Senior,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Engineering Manager",Senior,"12 Yıl ve üzeri","C# / .NET Framework
DevOps araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,%11-%20,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki",Türkiye,"34 İstanbul",Ofiste,301-600,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Tıbbi izin",Türkiye,"06 Ankara",Ofiste,5.000-10.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Brüt,,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
İşçi tazminatı",Türkiye,"34 İstanbul",Remote,151-300,"iOS Developer",Junior,"1-3 Yıl",Swift,"Türk Lirası",Brüt,%36-%50,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Spor salonu üyeliği / indirimi","Yurt dışı",,Remote,"10.000 ve üzeri","Software Engineer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Dolar,Brüt,,"160.001 TL - 200.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Hayat sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,601-1.000,"Backend Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Tıbbi izin","Yurt dışı",,Remote,1-50,DevOps,Mid,"3-5 Yıl","ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
No-code / Low-code Araçları
PHP
SAP",Dolar,Net,%11-%20,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"81 Düzce",Remote,51-150,"Frontend Developer / Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,601-1.000,"Software Architect",Senior,"12 Yıl ve üzeri","C# / .NET Framework
SQL","Türk Lirası",Net,%21-%35,"85.001 TL - 100.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Eğitim ödemeleri
Emeklilik planlama hizmetleri
Tıbbi izin","Yurt dışı",,Ofiste,5.000-10.000,Diğer,Junior,"0-1 Yıl","No-code / Low-code Araçları",Euro,Brüt,%5-%10,"160.001 TL - 200.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Golang
Kubernetes","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerce dhediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,1-50,"CTO (Chief Technology Officer)",Senior,"12 Yıl ve üzeri",Python,Dolar,Net,%36-%50,"200.000 TL - 250.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,601-1.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Brüt,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"35 İzmir",Hybrid,1-50,"Project Manager",Mid,"0-1 Yıl","C# / .NET Framework
ChatGPT","Türk Lirası",Net,%5-%10,"11.402 TL ve altı"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Şirket telefonu
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri
İşsizlik sigortası",Türkiye,"06 Ankara",Remote,1.000-5.000,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Brüt,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"İşsizlik sigortası
İşçi tazminatı",Türkiye,"35 İzmir",Hybrid,1-50,"Software Development Manager",Senior,"9-12 Yıl","C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
İşçi tazminatı","Yurt dışı","34 İstanbul",Remote,"10.000 ve üzeri","Cyber Security Engineer",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları",Euro,Brüt,%5-%10,"160.001 TL - 200.000 TL"
